student_id,date,beers_consumed
S001,2024-09-18 16:46:43.729780,3
S001,2024-09-19 16:46:43.729780,3
S001,2024-09-20 16:46:43.729780,3
S001,2024-09-21 16:46:43.729780,0
S001,2024-09-22 16:46:43.729780,0
S001,2024-09-23 16:46:43.729780,0
S001,2024-09-24 16:46:43.729780,1
S001,2024-09-25 16:46:43.729780,2
S001,2024-09-26 16:46:43.729780,2
S001,2024-09-27 16:46:43.729780,5
S001,2024-09-28 16:46:43.729780,1
S001,2024-09-29 16:46:43.729780,3
S001,2024-09-30 16:46:43.729780,4
S001,2024-10-01 16:46:43.729780,2
S001,2024-10-02 16:46:43.729780,3
S001,2024-10-03 16:46:43.729780,2
S001,2024-10-04 16:46:43.729780,1
S001,2024-10-05 16:46:43.729780,4
S001,2024-10-06 16:46:43.729780,1
S001,2024-10-07 16:46:43.729780,3
S001,2024-10-08 16:46:43.729780,1
S001,2024-10-09 16:46:43.729780,1
S001,2024-10-10 16:46:43.729780,3
S001,2024-10-11 16:46:43.729780,0
S001,2024-10-12 16:46:43.729780,1
S001,2024-10-13 16:46:43.729780,1
S001,2024-10-14 16:46:43.729780,0
S001,2024-10-15 16:46:43.729780,1
S001,2024-10-16 16:46:43.729780,2
S001,2024-10-17 16:46:43.729780,0
S002,2024-09-18 16:46:43.729780,3
S002,2024-09-19 16:46:43.729780,4
S002,2024-09-20 16:46:43.729780,4
S002,2024-09-21 16:46:43.729780,1
S002,2024-09-22 16:46:43.729780,1
S002,2024-09-23 16:46:43.729780,0
S002,2024-09-24 16:46:43.729780,0
S002,2024-09-25 16:46:43.729780,4
S002,2024-09-26 16:46:43.729780,2
S002,2024-09-27 16:46:43.729780,1
S002,2024-09-28 16:46:43.729780,1
S002,2024-09-29 16:46:43.729780,3
S002,2024-09-30 16:46:43.729780,4
S002,2024-10-01 16:46:43.729780,4
S002,2024-10-02 16:46:43.729780,3
S002,2024-10-03 16:46:43.729780,2
S002,2024-10-04 16:46:43.729780,2
S002,2024-10-05 16:46:43.729780,0
S002,2024-10-06 16:46:43.729780,4
S002,2024-10-07 16:46:43.729780,2
S002,2024-10-08 16:46:43.729780,5
